text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
[EDUCAÇÃO] 📃 Reitora do IFG participa da abertura do XXXI Simpósio Brasileiro de Política e Administração da Educação  ✅ Saiba mais no nosso site:  https://t. co/pJR2Vt5MsM,[EDUCAÇÃO] 📃 Reitora do IFG participa da abertura do XXXI Simpósio Brasileiro de Política e Administração da Educação  ✅ Saiba mais no nosso site:  https://t. co/pJR2Vt5MsM
@mgcsuga Amiga como fazer quando o guarda roupa só tem 20 camisetas com logos diferentes do IFB,@mgcsuga Amiga como fazer quando o guarda roupa só tem 20 camisetas com logos diferentes do IFB
@MarianaFragaD Mariana  como faço pra dá uma sugestão de pauta sobre um evento bem legal que vai ter no IFB,@MarianaFragaD Mariana  como faço pra dá uma sugestão de pauta sobre um evento bem legal que vai ter no IFB
vish pior q eu sai do IFB devendo 3 conto (3 refeição) pra cantina,vish pior q eu sai do IFB devendo 3 conto (3 refeição) pra cantina
Do IFG todo praticamente só dois professores furando greve e é exatamente os CUZOES que reprova a galera por puro prazer  mas o povo jura q oq atrasa é greve,Do IFG todo praticamente só dois professores furando greve e é exatamente os CUZOES que reprova a galera por puro prazer  mas o povo jura q oq atrasa é greve
@whocaaares_ eu m tenho mais roupa as vezes e inevitável usar uma do ifb as vezes 😭 e o luciano q n pode mais usar p n descobrirem o segundo emprego dele,@whocaaares_ eu m tenho mais roupa as vezes e inevitável usar uma do ifb as vezes 😭 e o luciano q n pode mais usar p n descobrirem o segundo emprego dele
➡ IFG realiza consulta pública sobre os processos seletivos para ingresso nos Cursos Técnicos Integrados ao Ensino Médio do IFG.   🟢🔴 Servidores e estudantes da Instituição podem participar do processo consultivo até o dia 21 de abril.   🔗 https://t. co/wdlkLjADCC https://t. co/HS5XVqzQr0,➡ IFG realiza consulta pública sobre os processos seletivos para ingresso nos Cursos Técnicos Integrados ao Ensino Médio do IFG.   🟢🔴 Servidores e estudantes da Instituição podem participar do processo consultivo até o dia 21 de abril.   🔗 https://t. co/wdlkLjADCC https://t. co/HS5XVqzQr0
Foi divulgado nesta sexta  5  o edital de matrículas da seleção de vagas remanescentes dos cursos superiores do IFG Anápolis.  As matrículas serão realizadas entre os dias 8 e 11 de abril de forma remota por meio do link disponível no edital.  Confira em: https://t. co/5EGRS0tr6l https://t,Foi divulgado nesta sexta  5  o edital de matrículas da seleção de vagas remanescentes dos cursos superiores do IFG Anápolis.  As matrículas serão realizadas entre os dias 8 e 11 de abril de forma remota por meio do link disponível no edital.  Confira em: https://t. co/5EGRS0tr6l https://t
O Centro de Seleção do IFG - Câmpus Aparecida de Goiânia publicou nesta sexta-feira  5 de abril  o Edital Complementar de Matrículas do Vestibular para vagas remanescentes 2024/1: https://t. co/r92ae8eGGy https://t. co/QXBR8GrKbJ,O Centro de Seleção do IFG - Câmpus Aparecida de Goiânia publicou nesta sexta-feira  5 de abril  o Edital Complementar de Matrículas do Vestibular para vagas remanescentes 2024/1: https://t. co/r92ae8eGGy https://t. co/QXBR8GrKbJ
O Centro de Seleção do IFG - Câmpus Aparecida de Goiânia publicou nesta sexta-feira  5 de abril  um Comunicado acerca do Edital Complementar de Matrículas do Vestibular para vagas remanescentes 2024/1: https://t. co/s0RXAOTJUQ… https://t. co/ZJaURXsXW2,O Centro de Seleção do IFG - Câmpus Aparecida de Goiânia publicou nesta sexta-feira  5 de abril  um Comunicado acerca do Edital Complementar de Matrículas do Vestibular para vagas remanescentes 2024/1: https://t. co/s0RXAOTJUQ… https://t. co/ZJaURXsXW2
podia mm liberar o espelho 💔💔 mas creio q n tem isso no ifg,podia mm liberar o espelho 💔💔 mas creio q n tem isso no ifg
@chico_melancias ss  estudo no ifg licenciatura em matemática,@chico_melancias ss  estudo no ifg licenciatura em matemática
Manoo  a galera do IFG simplesmente criou um fã clube pro meu primo kkkkkkkkkkkkkkkk https://t,Manoo  a galera do IFG simplesmente criou um fã clube pro meu primo kkkkkkkkkkkkkkkk https://t
gostaria de dizer que tem um professor do instituto de física do IFG q é caloteiro e mitomaníaco,gostaria de dizer que tem um professor do instituto de física do IFG q é caloteiro e mitomaníaco
@yuppiecore @nineisart saudade😭😭pelo menos ainda vai pra porta do ifb me acompanhar enquanto fumo,@yuppiecore @nineisart saudade😭😭pelo menos ainda vai pra porta do ifb me acompanhar enquanto fumo
@nakedlorde sou nao amor sou do ifb  mas na unb parece q vai começar dia 15 oficialmente,@nakedlorde sou nao amor sou do ifb  mas na unb parece q vai começar dia 15 oficialmente
Tem oportunidade de professor substituto de Sociologia no IFB Campus Recanto das Emas.  As inscrições vão até o dia 12 de abril e são feitas de forma eletrônica.  Você preenche os requisitos? Aproveite.  Conhece alguém que se encaixa nessa vaga? Compartilhe.  https://t. co/bvUpedpM6d,Tem oportunidade de professor substituto de Sociologia no IFB Campus Recanto das Emas.  As inscrições vão até o dia 12 de abril e são feitas de forma eletrônica.  Você preenche os requisitos? Aproveite.  Conhece alguém que se encaixa nessa vaga? Compartilhe.  https://t. co/bvUpedpM6d
Ih menina no campus Brasília do ifb tem tudo isso,Ih menina no campus Brasília do ifb tem tudo isso
😉 O Câmpus Goiânia do IFG publicou nesta quarta-feira os resultados finais do edital de proficiência 2024/1.    ➡️ Confira: https://t. co/HPoaBBiOND https://t. co/67Xyxv7sjA,😉 O Câmpus Goiânia do IFG publicou nesta quarta-feira os resultados finais do edital de proficiência 2024/1.    ➡️ Confira: https://t. co/HPoaBBiOND https://t. co/67Xyxv7sjA
Nesta quinta-feira (11)  estaremos junto com o presidente Lula no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  Eu espero você! 👊🏽❤️✨ https://t. co/G7SY4yKQYp,Nesta quinta-feira (11)  estaremos junto com o presidente Lula no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  Eu espero você! 👊🏽❤️✨ https://t. co/G7SY4yKQYp
o site extensão do ifg nao funciona pra mim tem semanas  EU TÔ PRA FICAR LOUCAAA,o site extensão do ifg nao funciona pra mim tem semanas  EU TÔ PRA FICAR LOUCAAA
realmente a água do ifb é muito boa,realmente a água do ifb é muito boa
Nesta quinta-feira (11)  estaremos junto com o presidente Lula no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.    O objetivo da nova expansão é aumentar a oferta de vagas na Educação Profissional e Tecnológica  criando mais oportunidades.  https://t. co/7Xf6bT1Y9n,Nesta quinta-feira (11)  estaremos junto com o presidente Lula no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.    O objetivo da nova expansão é aumentar a oferta de vagas na Educação Profissional e Tecnológica  criando mais oportunidades.  https://t. co/7Xf6bT1Y9n
@apenasJaisla Bom… a votacao esta acontecendo agora la no IFG pra ver se vai entrar isso é um mal sinal kkkkkk,@apenasJaisla Bom… a votacao esta acontecendo agora la no IFG pra ver se vai entrar isso é um mal sinal kkkkkk
@RequiaoFelipe @GiselleAMachado @luanufal E estão  principalmente pra estudantes pobres.  Eu estudo no IFG que tem 14 Campus  cada Campus tem que usar verba própria pra auxílios  não tem RU  e as verbas do governo vão para os maiores Campus,@RequiaoFelipe @GiselleAMachado @luanufal E estão  principalmente pra estudantes pobres.  Eu estudo no IFG que tem 14 Campus  cada Campus tem que usar verba própria pra auxílios  não tem RU  e as verbas do governo vão para os maiores Campus
Apagar umas publicações pq a galera do Ifb descobriu minha conta,Apagar umas publicações pq a galera do Ifb descobriu minha conta
Nossa  mas a gestão e coordenação do IFG são uns inúteis  5 dias para responder e-mail,Nossa  mas a gestão e coordenação do IFG são uns inúteis  5 dias para responder e-mail
reclamo que só do ifb mas se eu perder a vaga lá por eu estar faltando demais  vou ficar tão feliz  mas vou ser morta pelos meus pais de tanto esporro. . .  💔,reclamo que só do ifb mas se eu perder a vaga lá por eu estar faltando demais  vou ficar tão feliz  mas vou ser morta pelos meus pais de tanto esporro. . .  💔
@tanizakii1 VAMO AMIGA  é lá no ifb mesmo  vamo vamo vamo vamo,@tanizakii1 VAMO AMIGA  é lá no ifb mesmo  vamo vamo vamo vamo
que mundo injusto  tanta gente que queria ter entrado no ifb  e eu que entrei nessa porra  vai se fuder eu só queria sair dessa escola,que mundo injusto  tanta gente que queria ter entrado no ifb  e eu que entrei nessa porra  vai se fuder eu só queria sair dessa escola
Governo federal lança pedra fundamental do campus Sol Nascente do IFB https://t. co/Ic3pm0euFp,Governo federal lança pedra fundamental do campus Sol Nascente do IFB https://t. co/Ic3pm0euFp
É HOJE! 🌟  O Gabinete 13 estará mais uma vez com o presidente @lulaoficial  agora no lançamento da Pedra Fundamental do novo campus do IFB no Sol Nascente.   Não deixe de participar:  📅 Quinta-feira  11 de abril (hoje!) 🕐 Às 15h 📍 VC 311  Quadra 202 – Sol Nascente  Vamos… https://t. co/e4puetOb0E,É HOJE! 🌟  O Gabinete 13 estará mais uma vez com o presidente @lulaoficial  agora no lançamento da Pedra Fundamental do novo campus do IFB no Sol Nascente.   Não deixe de participar:  📅 Quinta-feira  11 de abril (hoje!) 🕐 Às 15h 📍 VC 311  Quadra 202 – Sol Nascente  Vamos… https://t. co/e4puetOb0E
Pessoal  bora lançar a pedra fundamental do IFB de Sol Nascente com Lula @LulaOficial https://t. co/yykOB77ZN4,Pessoal  bora lançar a pedra fundamental do IFB de Sol Nascente com Lula @LulaOficial https://t. co/yykOB77ZN4
@catyerii oi amg  estudo no ifb e sou de brasilia,@catyerii oi amg  estudo no ifb e sou de brasilia
[Educação de Jovens e Adultos]  😀Projeto do IFG é destaque em programa da TV Alego  🔗Confira a entrevista e conheça um pouco mais sobre o Projeto: https://t. co/N8naKWvLPz  #ifgnamídia #eja #goias #educação #ensino https://t. co/9gOANkKp1I,[Educação de Jovens e Adultos]  😀Projeto do IFG é destaque em programa da TV Alego  🔗Confira a entrevista e conheça um pouco mais sobre o Projeto: https://t. co/N8naKWvLPz  #ifgnamídia #eja #goias #educação #ensino https://t. co/9gOANkKp1I
deixo claro minha nota afirmando que mesmo sendo o maior vencedor de medalhas de ouro do ifms de atletismo eu odeio esse esporte,deixo claro minha nota afirmando que mesmo sendo o maior vencedor de medalhas de ouro do ifms de atletismo eu odeio esse esporte
📲 Acompanhe ao vivo o lançamento da Pedra Fundamental do campus Sol Nascente do IFB  com a presença do nosso querido presidente @LulaOficial!  https://t. co/dolq6R0E2S,📲 Acompanhe ao vivo o lançamento da Pedra Fundamental do campus Sol Nascente do IFB  com a presença do nosso querido presidente @LulaOficial!  https://t. co/dolq6R0E2S
@BrunnoMeloCBN @cbnbrasilia Uma vez no estacionamento do IFB da Asa Norte eu precisei sair para uma emergência e meu carro estava preso.  Tive que pedir um uber e horas depois retornei para pegar meu carro.,@BrunnoMeloCBN @cbnbrasilia Uma vez no estacionamento do IFB da Asa Norte eu precisei sair para uma emergência e meu carro estava preso.  Tive que pedir um uber e horas depois retornei para pegar meu carro.
🟢 #AOVIVO | Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB  Acompanhe: https://t. co/FrLnp58PrW,🟢 #AOVIVO | Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB  Acompanhe: https://t. co/FrLnp58PrW
🔴 O podcast do Notícias do @ptbrasil desta quinta (11) está no ar!  Nos destaques de hoje 👇  ✳️ @LulaOficial participa de lançamento da Pedra Fundamental do IFB Sol Nascente ✳️  @gleisi e Li Xi reafirmam compromisso de fortalecer intercâmbio entre o PT e o PC Chinês https://t. co/5OvXcgTl9s,🔴 O podcast do Notícias do @ptbrasil desta quinta (11) está no ar!  Nos destaques de hoje 👇  ✳️ @LulaOficial participa de lançamento da Pedra Fundamental do IFB Sol Nascente ✳️  @gleisi e Li Xi reafirmam compromisso de fortalecer intercâmbio entre o PT e o PC Chinês https://t. co/5OvXcgTl9s
Thaís Moreira é formada no curso técnico em Áudio e Vídeo do IFB e conta um pouco da importância do Instituto para a formação de jovens e adultos.    Saiba mais sobre o IFB: https://t. co/0chLa17ruZ  📲 DIGITAL/PR https://t. co/19gJ8f1Nx0,Thaís Moreira é formada no curso técnico em Áudio e Vídeo do IFB e conta um pouco da importância do Instituto para a formação de jovens e adultos.    Saiba mais sobre o IFB: https://t. co/0chLa17ruZ  📲 DIGITAL/PR https://t. co/19gJ8f1Nx0
Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/3m2xkkR6RQ,Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/3m2xkkR6RQ
Lançamento da pedra fundamental do IFB com presença do presidente LULA https://t,Lançamento da pedra fundamental do IFB com presença do presidente LULA https://t
IAB oferecendo curso de Qgis pago enquanto eu tô fazendo de graça no IFB 🤪,IAB oferecendo curso de Qgis pago enquanto eu tô fazendo de graça no IFB 🤪
#AconteceAgora | A ex-aluna do Instituto Federal de Brasília  campus Recanto das Emas  Taís Moreira  celebrou a chegada do IFB em locais como o Sol Nascente.  A chegada do novo campus faz parte dos 100 novos institutos federais anunciados pelo governo federal.  https://t. co/qNZp2bBQUm,#AconteceAgora | A ex-aluna do Instituto Federal de Brasília  campus Recanto das Emas  Taís Moreira  celebrou a chegada do IFB em locais como o Sol Nascente.  A chegada do novo campus faz parte dos 100 novos institutos federais anunciados pelo governo federal.  https://t. co/qNZp2bBQUm
🎙️ NOTÍCIAS DO PT ⭐ 📌 QUINTA  11/04  🚨Nos destaques de hoje:  ✳️ @LulaOficial participa de lançamento da Pedra Fundamental do IFB Sol Nascente  ✳️ @gleisi e Li Xi reafirmam compromisso de fortalecer intercâmbio entre o PT e o PC Chinês  E mais: 👇,🎙️ NOTÍCIAS DO PT ⭐ 📌 QUINTA  11/04  🚨Nos destaques de hoje:  ✳️ @LulaOficial participa de lançamento da Pedra Fundamental do IFB Sol Nascente  ✳️ @gleisi e Li Xi reafirmam compromisso de fortalecer intercâmbio entre o PT e o PC Chinês  E mais: 👇
lula os outros campi do ifb ainda nao tem bandejão eu pagava 30 reais o kg em 2019 lula,lula os outros campi do ifb ainda nao tem bandejão eu pagava 30 reais o kg em 2019 lula
Acontece agora o lançamento do IFB Sol Nascente.  Unidade integra lista de 100 novos campi de Institutos Federais que serão construídos pelo Brasil.  No DF serão duas novas unidades: além de Sol Nascente  haverá uma em Sobradinho.   📲 DIGITAL/PR https://t. co/a1q9AoCyXU,Acontece agora o lançamento do IFB Sol Nascente.  Unidade integra lista de 100 novos campi de Institutos Federais que serão construídos pelo Brasil.  No DF serão duas novas unidades: além de Sol Nascente  haverá uma em Sobradinho.   📲 DIGITAL/PR https://t. co/a1q9AoCyXU
História sendo feita no Sol Nascente!   A construção do campus do IFB representa um avanço fundamental pra essa quebrada que é formada majoritariamente por jovens negros ✊🏾  📸: Ingrid https://t. co/Ugr4OIuA1v,História sendo feita no Sol Nascente!   A construção do campus do IFB representa um avanço fundamental pra essa quebrada que é formada majoritariamente por jovens negros ✊🏾  📸: Ingrid https://t. co/Ugr4OIuA1v
🔴 Presidente @LulaOficial participa do lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/PWGy2ZjJAP,🔴 Presidente @LulaOficial participa do lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/PWGy2ZjJAP
⏯️ Ao lado de Lula  Celina agradece apoio do governo federal no IFB  Vice-governadora do DF  Celina Leão (PP) participou de lançamento da pedra fundamental do campus do IFB Sol Nascente  com Lula  Leia: https://t. co/5DsTRgBCY1 https://t. co/sWdZM9SgKV,⏯️ Ao lado de Lula  Celina agradece apoio do governo federal no IFB  Vice-governadora do DF  Celina Leão (PP) participou de lançamento da pedra fundamental do campus do IFB Sol Nascente  com Lula  Leia: https://t. co/5DsTRgBCY1 https://t. co/sWdZM9SgKV
Ao lado de Lula  Celina agradece apoio do governo federal no IFB --&gt;  https://t. co/GEYuLVacBf  | #NewsAlert #Notícias #News #RiodeJaneiro #RJ #SãoPaulo #SP #Brasilia #DF #Brasil  https://t. co/UjcPzk2LsL A vice-governadora do DF  Celina Leão (PP)  agradeceu o apoio do governo f. . .,Ao lado de Lula  Celina agradece apoio do governo federal no IFB --&gt;  https://t. co/GEYuLVacBf  | #NewsAlert #Notícias #News #RiodeJaneiro #RJ #SãoPaulo #SP #Brasilia #DF #Brasil  https://t. co/UjcPzk2LsL A vice-governadora do DF  Celina Leão (PP)  agradeceu o apoio do governo f. . .
@maxmacieldf E o @IbaneisOficial  sumiu de novo?! Nem na pedra fundamental do IFB do Sol Nascente ele foi?! https://t. co/NFJBYPFND0,@maxmacieldf E o @IbaneisOficial  sumiu de novo?! Nem na pedra fundamental do IFB do Sol Nascente ele foi?! https://t. co/NFJBYPFND0
⏯️ “Mulher não foi feita para apanhar”  diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  Leia: https://t. co/zqwbUi633Y https://t. co/hUdTqBhxPk,⏯️ “Mulher não foi feita para apanhar”  diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  Leia: https://t. co/zqwbUi633Y https://t. co/hUdTqBhxPk
🚨 MULHER NÃO FOI FEITA PRA APANHAR   Diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  (E A NORA? O QUE ELA ACHA DISSO?)    https://t. co/V4kQKQLSxF,🚨 MULHER NÃO FOI FEITA PRA APANHAR   Diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  (E A NORA? O QUE ELA ACHA DISSO?)    https://t. co/V4kQKQLSxF
🇧🇷  “Mulher não foi feita para apanhar”  diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  De @Metropoles  https://t. co/h1r3VNJFZT,🇧🇷  “Mulher não foi feita para apanhar”  diz Lula em lançamento de IFB  Lula acompanhou o lançamento da pedra fundamental do IFB no Sol Nascente e ressaltou o trabalho de combate à violência contra a mulher  De @Metropoles  https://t. co/h1r3VNJFZT
“É educação que faz as pessoas viverem melhor”  diz Lula na inauguração da pedra fundamental do campus Sol Nascente do IFB  Unidade integra os 100 novos campi de IFs que serão construídos pelo Brasil.  No DF  haverá também um novo campus em Sobradinho  https://t. co/AT2n0L9KyV,“É educação que faz as pessoas viverem melhor”  diz Lula na inauguração da pedra fundamental do campus Sol Nascente do IFB  Unidade integra os 100 novos campi de IFs que serão construídos pelo Brasil.  No DF  haverá também um novo campus em Sobradinho  https://t. co/AT2n0L9KyV
Hoje foi dia de FAZER O L pelos 100 novos campus dos Institutos Federais de Educação que serão construídos nos próximos anos pelo presidente Lula.    Fui até o Sol Nascente ver de perto o lançamento da pedra fundamental da construção do campus do IFB no Sol Nascente.  https://t. co/lLGOwGv6ii,Hoje foi dia de FAZER O L pelos 100 novos campus dos Institutos Federais de Educação que serão construídos nos próximos anos pelo presidente Lula.    Fui até o Sol Nascente ver de perto o lançamento da pedra fundamental da construção do campus do IFB no Sol Nascente.  https://t. co/lLGOwGv6ii
Ao lado de Lula  Celina agradece apoio do governo federal no IFB - Metrópoles https://t,Ao lado de Lula  Celina agradece apoio do governo federal no IFB - Metrópoles https://t
Hoje  na cerimônia de lançamento da pedra fundamental do campus do IFB do Sol Nascente  houve o reconhecimento que a nossa região administrativa não parece uma favela e que tem infraestrutura de cidade.  Sim  isso é resultado visível da gestão @IbaneisOficial .,Hoje  na cerimônia de lançamento da pedra fundamental do campus do IFB do Sol Nascente  houve o reconhecimento que a nossa região administrativa não parece uma favela e que tem infraestrutura de cidade.  Sim  isso é resultado visível da gestão @IbaneisOficial .
Hoje o nosso velhinho esteve aqui na minha região lançando a pedra fundamental do IFB Campus SHSN (SETOR HABITACIONAL SOL NASCENTE) Em Brasília.   Grande dia para a população desta região.  https://t. co/FfBQjQBoDB,Hoje o nosso velhinho esteve aqui na minha região lançando a pedra fundamental do IFB Campus SHSN (SETOR HABITACIONAL SOL NASCENTE) Em Brasília.   Grande dia para a população desta região.  https://t. co/FfBQjQBoDB
Estivemos hoje com o presidente @LulaOficial no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  📚🤩  O Brasil voltou a ser um país que valoriza a educação! Faz o L! ❤️ https://t. co/EbwJou1ZCI,Estivemos hoje com o presidente @LulaOficial no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  📚🤩  O Brasil voltou a ser um país que valoriza a educação! Faz o L! ❤️ https://t. co/EbwJou1ZCI
Enquanto a horta extremista grunhi👇 Parabéns presidente Lula  pelo IF Campus Sol Nascente DF.  A RA trará muitas oportunidades para os jovens.  Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/J4HkArzcfn,Enquanto a horta extremista grunhi👇 Parabéns presidente Lula  pelo IF Campus Sol Nascente DF.  A RA trará muitas oportunidades para os jovens.  Presidente Lula participa lançamento da Pedra Fundamental do Campus Sol Nascente do IFB https://t. co/J4HkArzcfn
Estivemos hoje com o presidente @LulaOficial no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  📚🤩  O Brasil voltou a ser um país que valoriza a educação! Faz o L! ❤️  📷 @ricardostuckert https://t. co/fml4cPFgV7,Estivemos hoje com o presidente @LulaOficial no Sol Nascente para o lançamento da pedra fundamental do novo campus do IFB na cidade.  📚🤩  O Brasil voltou a ser um país que valoriza a educação! Faz o L! ❤️  📷 @ricardostuckert https://t. co/fml4cPFgV7
@LulaOficial sou a favor dos IFs  inclusive sou ex aluna do IFG Campus Uruaçu no interior de Goiás  é um ensino de qualidade que chega a população pobre.  Mas é preciso gerar emprego Lula  não adianta colocar esse tanto de técnico no mercado  se não tem vaga de emprego  eu mesmo qualificada +,@LulaOficial sou a favor dos IFs  inclusive sou ex aluna do IFG Campus Uruaçu no interior de Goiás  é um ensino de qualidade que chega a população pobre.  Mas é preciso gerar emprego Lula  não adianta colocar esse tanto de técnico no mercado  se não tem vaga de emprego  eu mesmo qualificada +
🎙️ DISCURSO | Lula participa do lançamento da pedra fundamental do campus do IFB Sol Nascente.     ▶️  Ouça:  https://t. co/Q0G7z4Zyj0  ⬇️  Baixe:  https://t. co/GXiD780tTK https://t. co/fmVDX1Tizr,🎙️ DISCURSO | Lula participa do lançamento da pedra fundamental do campus do IFB Sol Nascente.     ▶️  Ouça:  https://t. co/Q0G7z4Zyj0  ⬇️  Baixe:  https://t. co/GXiD780tTK https://t. co/fmVDX1Tizr
O vi@do mais gostoso do ifg bbs https://t. co/P23HlCrpQm,O vi@do mais gostoso do ifg bbs https://t. co/P23HlCrpQm
@aotyxred aqui no ifg decidiu quarta  começa dia 15 agr  me preparando pra perder todos os meus sábados e feriados,@aotyxred aqui no ifg decidiu quarta  começa dia 15 agr  me preparando pra perder todos os meus sábados e feriados
Ontem o Lula lançou a pedra fundamental do IFB no Sol Nascente.  Muito importante para os jovens.  Lula vai a Ceilandia para levar benefícios e não para passear de moto.  Muita diferença!,Ontem o Lula lançou a pedra fundamental do IFB no Sol Nascente.  Muito importante para os jovens.  Lula vai a Ceilandia para levar benefícios e não para passear de moto.  Muita diferença!
@kimpaim E eu só lembro da reitora do IFG aqui da minha cidade postando foto na posse do Lula. .  nesses momentos aí que eles gostam de doutrinar em cima dos alunos mesmo 🤦🏼‍♀️,@kimpaim E eu só lembro da reitora do IFG aqui da minha cidade postando foto na posse do Lula. .  nesses momentos aí que eles gostam de doutrinar em cima dos alunos mesmo 🤦🏼‍♀️
CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 1/3 https://t. co/qfoKTeyodM,CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 1/3 https://t. co/qfoKTeyodM
CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 2/3 https://t. co/WWEJXGwGrW,CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 2/3 https://t. co/WWEJXGwGrW
Nesta semana o presidente Lula lançou a pedra fundamental do novo campus do IFB no Sol Nascente.    Veja no vídeo como foi o evento! https://t. co/xhUCIUWX86,Nesta semana o presidente Lula lançou a pedra fundamental do novo campus do IFB no Sol Nascente.    Veja no vídeo como foi o evento! https://t. co/xhUCIUWX86
CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 3/3 https://t. co/5vVHcOy4O4,CAMPUS DO IFB na maior favela do Brasil  VENDAS NO VAREJO acima das expectativas  demarcação de TERRAS INDÍGENAS: as mais recentes políticas públicas implementadas pelo governo Lula – o maior presidente/estadista da história do Brasil! 3/3 https://t. co/5vVHcOy4O4
@_nacreous_ Cmg aconteceu o contrário  eu fiz o fundamental em uma escola pública e me achava inteligente  na primeira aula do ensino médio no IFG eu não entendi nada  n sabia nem explicar minhas dúvidas,@_nacreous_ Cmg aconteceu o contrário  eu fiz o fundamental em uma escola pública e me achava inteligente  na primeira aula do ensino médio no IFG eu não entendi nada  n sabia nem explicar minhas dúvidas
Ao lado de Lula  Celina agradece apoio do governo federal no IFB https://t,Ao lado de Lula  Celina agradece apoio do governo federal no IFB https://t
ÚLTIMOS DIAS PARA SELEÇÃO DE VAGAS REMANESCENTES EJA NO IFG CAMPUS VALPARAÍSO   Últimos dias para se inscrever na seleção EJA vagas remanescentes do IFG Campus Valparaíso para o curso técnico em Eletrotécnica integrado ao Ensino Médio.    O Instituto Federal de Goiás (IFG) inf. . .  https://t. co/0t2Ca8aQtD,ÚLTIMOS DIAS PARA SELEÇÃO DE VAGAS REMANESCENTES EJA NO IFG CAMPUS VALPARAÍSO   Últimos dias para se inscrever na seleção EJA vagas remanescentes do IFG Campus Valparaíso para o curso técnico em Eletrotécnica integrado ao Ensino Médio.    O Instituto Federal de Goiás (IFG) inf. . .  https://t. co/0t2Ca8aQtD
@anagoesr claro  pq era uma reflexão sobre minha experiência individual na minha escola e vc transformou numa análise nacional…  estudar aqui não era a mesma coisa que estudar no IFMS com feira científica e nem que estudar em salvador  apesar de melhor que as outras públicas,@anagoesr claro  pq era uma reflexão sobre minha experiência individual na minha escola e vc transformou numa análise nacional…  estudar aqui não era a mesma coisa que estudar no IFMS com feira científica e nem que estudar em salvador  apesar de melhor que as outras públicas
aluno do ifms querendo acabar com a greve em um post de instagram kkkk,aluno do ifms querendo acabar com a greve em um post de instagram kkkk
eu e as meninas apelidando a cachorra q apareceu no ifb hj de sapatona  pq ela só deixava as lesbiconas do time tocarem nela  😭😭,eu e as meninas apelidando a cachorra q apareceu no ifb hj de sapatona  pq ela só deixava as lesbiconas do time tocarem nela  😭😭
