text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
Do nada  diretor do IFMS de Dourados começa me seguir👍,Do nada  diretor do IFMS de Dourados começa me seguir👍
fico chocada com algumas pessoas do cap que ficam indo no ifg só para fazer isso aqui 👇,fico chocada com algumas pessoas do cap que ficam indo no ifg só para fazer isso aqui 👇
eu saio do ifg e o ifg n sai de mim como pode?!,eu saio do ifg e o ifg n sai de mim como pode?!
hoje eh dia do amigo e só consigo pensar na reação deles qnd eu contei que passei pra história no IFG aff tô tão feliz https://t. co/sOgq6jlhWU,hoje eh dia do amigo e só consigo pensar na reação deles qnd eu contei que passei pra história no IFG aff tô tão feliz https://t. co/sOgq6jlhWU
Feliz Dia do Amigo! 🫂Celebremos as amizades que nos fazem mais felizes.  No IFB  conhecemos pessoas incríveis que se tornaram verdadeiros amigos  compartilhando risadas e momentos inesquecíveis.  🫶🫰 Marque @ifbrasilia (no instagram) participarmos dessa celebração de amizade!💚❤️ https://t. co/YvJQfph86q,Feliz Dia do Amigo! 🫂Celebremos as amizades que nos fazem mais felizes.  No IFB  conhecemos pessoas incríveis que se tornaram verdadeiros amigos  compartilhando risadas e momentos inesquecíveis.  🫶🫰 Marque @ifbrasilia (no instagram) participarmos dessa celebração de amizade!💚❤️ https://t. co/YvJQfph86q
#Ciência ⚛️Professora do Câmpus Goiânia do IFG participa de imersão em importante laboratório de Física da América Latina.  A docente Simone Ramalho foi uma das 40 pessoas selecionadas para ação do Centro Nacional de Pesquisa em Energia e Materiais 👉🏾 https://t. co/4Ax4xCSYkB https://t. co/89k4FsVWv3,#Ciência ⚛️Professora do Câmpus Goiânia do IFG participa de imersão em importante laboratório de Física da América Latina.  A docente Simone Ramalho foi uma das 40 pessoas selecionadas para ação do Centro Nacional de Pesquisa em Energia e Materiais 👉🏾 https://t. co/4Ax4xCSYkB https://t. co/89k4FsVWv3
Eu busco participar dentro das condições de outros projetos no IFG desde Núcleo de Estudos Afro - Brasileiro e Indígena  Projeto de Ensino  Grupos de Estudos Interdisciplinares. . .,Eu busco participar dentro das condições de outros projetos no IFG desde Núcleo de Estudos Afro - Brasileiro e Indígena  Projeto de Ensino  Grupos de Estudos Interdisciplinares. . .
Fotinha como o Reitor do Instituto Federal de Educação  Ciência e Tecnologia Fluminense - IFF o professor Jefferson Manhães de Azevedo no Seminário de Formação dos Novos Gestores do IFB realizado entre os dias 18 a 20 de julho de 2023 no IFB Campus Brasília.  https://t. co/0VviaHovo9,Fotinha como o Reitor do Instituto Federal de Educação  Ciência e Tecnologia Fluminense - IFF o professor Jefferson Manhães de Azevedo no Seminário de Formação dos Novos Gestores do IFB realizado entre os dias 18 a 20 de julho de 2023 no IFB Campus Brasília.  https://t. co/0VviaHovo9
Fatinha com a nossa Reitora do IFB a professora Reitora Luciana  e também do motorista oficial da Reitora e muito o milde e muito amigo o Elison Franklin  parabenizo vocês dois por tudo pela otina trajetória na reitoria do Instituto Federal de Brasilia desde 2019 ate 2023.  https://t. co/0UZJfVTNtt,Fatinha com a nossa Reitora do IFB a professora Reitora Luciana  e também do motorista oficial da Reitora e muito o milde e muito amigo o Elison Franklin  parabenizo vocês dois por tudo pela otina trajetória na reitoria do Instituto Federal de Brasilia desde 2019 ate 2023.  https://t. co/0UZJfVTNtt
minha tia falando pra mim ir na festa junina do ifb pra ver os gatinhos kkkkkkk,minha tia falando pra mim ir na festa junina do ifb pra ver os gatinhos kkkkkkk
